Geography,Your estimated revenue (USD),Watch time (hours),Views,Average view duration
Total,93.228,1599.7791,107688,0:00:53
MX,3.916,285.8016,17252,0:00:59
US,32.208,271.5634,11798,0:01:22
ES,3.464,108.2939,7891,0:00:49
CA,7.915,98.8926,6053,0:00:58
IT,2.501,58.7968,8468,0:00:24
DE,4.314,48.2371,4687,0:00:37
CH,6.393,44.8986,4059,0:00:39
CZ,2.064,44.234,3684,0:00:43
GB,4.221,42.4842,4104,0:00:37
FR,2.999,39.4548,3318,0:00:42
SE,2.767,39.4377,3440,0:00:41
KR,2.148,37.9233,2775,0:00:49
SG,1.629,37.6198,2130,0:01:03
IL,1.03,30.5494,2255,0:00:48
NL,2.249,27.2236,2359,0:00:41
HK,1.135,26.2109,1742,0:00:54
AU,2.094,21.94,1555,0:00:50
AT,2.455,19.0432,2458,0:00:27
PT,0.937,17.7075,3130,0:00:20
BE,1.204,16.2737,1593,0:00:36
PH,0.173,14.4614,544,0:01:35
DK,0.997,11.1091,775,0:00:51
ID,0.064,8.8218,293,0:01:48
BR,0.184,7.6655,282,0:01:37
TH,0.189,6.9717,155,0:02:41
IE,0.609,6.5983,963,0:00:24
NO,0.454,4.7686,321,0:00:53
IN,0.796,3.3724,176,0:01:08
MY,0.089,3.1654,85,0:02:14
LU,0.212,3.1283,296,0:00:38
SI,0.004,2.0409,34,0:03:36
IS,0.118,1.8297,94,0:01:10
VN,0.026,1.8081,46,0:02:21
JP,0.285,1.6736,66,0:01:31
TW,0.083,1.4925,35,0:02:33
FI,0.246,1.4282,114,0:00:45
BG,0.031,1.1737,37,0:01:54
NZ,0.332,0.9234,117,0:00:28
PL,0.064,0.8454,22,0:02:18
RO,0.11,0.8272,11,0:04:30
GT,0,0.5083,11,0:02:46
RU,0.04,0.2288,11,0:01:14
ZA,0.031,0.2052,11,0:01:07
BF,0,0.035,10,0:00:12
AE,0.017,0,0,
AR,0.024,0,0,
BA,0.001,0,0,
CL,0.024,0,0,
CO,0.056,0,0,
CY,0.024,0,0,
DZ,0.001,0,0,
EC,0.001,0,0,
EE,0.002,0,0,
EG,0.005,0,0,
GE,0.015,0,0,
GH,0.003,0,0,
GR,0.018,0,0,
HR,0.01,0,0,
HU,0.021,0,0,
IQ,0.002,0,0,
JO,0.01,0,0,
KE,0.002,0,0,
KW,0.005,0,0,
LK,0.001,0,0,
LT,0.003,0,0,
LV,0.008,0,0,
MA,0.009,0,0,
MK,0.003,0,0,
MT,0.001,0,0,
NG,0.004,0,0,
NI,0.001,0,0,
OM,0.003,0,0,
PA,0.003,0,0,
PE,0.047,0,0,
PK,0.001,0,0,
PR,0.005,0,0,
PY,0.012,0,0,
QA,0.002,0,0,
RE,0.001,0,0,
RS,0.001,0,0,
SA,0.008,0,0,
SK,0.013,0,0,
SV,0.002,0,0,
TN,0.002,0,0,
TR,0.062,0,0,
UA,0.012,0,0,
UY,0.005,0,0,
