Campaign,Ad group,Max Bid
92 Keys | YouTube | Italy | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 55-64 | Male,0.002
92 Keys | YouTube | Mexico | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | Unknown Age | Unknown Gender,0.002
92 Keys | YouTube | Sweden | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Male,0.007
92 Keys | YouTube | Spain | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Female,0.002
92 Keys | YouTube | Spain | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.002
92 Keys | YouTube | Spain | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | Unknown Age | Female,0.002
92 Keys | YouTube | Canada | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Female,0.01
92 Keys | YouTube | France | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.006
92 Keys | YouTube | France | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 25-34 | Female,0.005
92 Keys | YouTube | Italy | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 65+ | Female,0.002
92 Keys | YouTube | Italy | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 65+ | Male,0.002
92 Keys | YouTube | Italy | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | Unknown Age | Female,0.001
92 Keys | YouTube | Mexico | Search,Carol of the Bells Audio | Affinity | Classical Fans | Desktop | 45-54 | Female,0.001
92 Keys | YouTube | Mexico | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 65+ | Female,0.001
92 Keys | YouTube | United States | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Male,0.012
92 Keys | YouTube | Sweden | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.008
92 Keys | YouTube | Portugal | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.002
92 Keys | YouTube | Spain | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.003
92 Keys | YouTube | Spain | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 55-64 | Female,0.003
92 Keys | YouTube | Spain | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 55-64 | Male,0.003
92 Keys | YouTube | Spain | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 65+ | Female,0.002
92 Keys | YouTube | France | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.006
92 Keys | YouTube | Switzerland | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.012
92 Keys | YouTube | Switzerland | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 18-24 | Male,0.01
92 Keys | YouTube | Italy | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.001
92 Keys | YouTube | Italy | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.002
92 Keys | YouTube | Italy | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | Unknown Age | Unknown Gender,0.001
92 Keys | YouTube | Austria | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.005
92 Keys | YouTube | Austria | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.005
92 Keys | YouTube | Germany | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.008
92 Keys | YouTube | Germany | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Female,0.007
92 Keys | YouTube | Mexico | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.001
92 Keys | YouTube | Mexico | Search,Christmas Bumper | Topics | Classical Music | Mobile | 18-24 | Male,0.001
92 Keys | YouTube | Australia | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Female,0.008
92 Keys | YouTube | United States | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.012
92 Keys | YouTube | United States | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.012
92 Keys | YouTube | United States | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.012
92 Keys | YouTube | United States | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.012
92 Keys | YouTube | United States | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 55-64 | Female,0.012
92 Keys | YouTube | Austria | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Female,0.004
92 Keys | YouTube | Austria | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.004
92 Keys | YouTube | Switzerland | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Male,0.01
92 Keys | YouTube | Switzerland | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Male,0.01
92 Keys | YouTube | United Kingdom | Search,Carol of the Bells Audio | Affinity | Classical Fans | Tablet | 45-54 | Male,0.007
92 Keys | YouTube | United Kingdom | Search,Christmas Bumper | Affinity | Classical Fans | Tablet | 35-44 | Female,0.008
92 Keys | YouTube | Czechia | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Female,0.004
92 Keys | YouTube | Czechia | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Male,0.004
92 Keys | YouTube | Sweden | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Male,0.007
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Female,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 55-64 | Female,0.001
92 Keys | YouTube | Sweden | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.008
92 Keys | YouTube | Portugal | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Female,0.002
92 Keys | YouTube | Portugal | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.002
92 Keys | YouTube | Portugal | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.002
92 Keys | YouTube | United Kingdom | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Female,0.007
92 Keys | YouTube | United Kingdom | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.008
92 Keys | YouTube | Australia | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Female,0.008
92 Keys | YouTube | Australia | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Male,0.008
92 Keys | YouTube | Czechia | Search,Christmas Bumper | Affinity | Classical Fans | Desktop | 45-54 | Male,0.004
92 Keys | YouTube | Czechia | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.004
92 Keys | YouTube | United Kingdom | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Female,0.007
92 Keys | YouTube | United Kingdom | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Male,0.007
92 Keys | YouTube | United Kingdom | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Female,0.007
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 25-34 | Male,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 55-64 | Male,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 65+ | Male,0.001
92 Keys | YouTube | Canada | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Female,0.01
92 Keys | YouTube | Switzerland | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Male,0.01
92 Keys | YouTube | Canada | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.01
92 Keys | YouTube | Canada | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.012
92 Keys | YouTube | Canada | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.012
92 Keys | YouTube | Germany | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.008
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Male,0.007
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Male,0.007
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Female,0.007
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 65+ | Male,0.007
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 18-24 | Male,0.004
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 25-34 | Female,0.004
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Female,0.004
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 18-24 | Male,0.007
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Female,0.007
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Female,0.004
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Tablet | 65+ | Male,0.004
92 Keys | YouTube | Israel | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.004
92 Keys | YouTube | Netherlands | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 18-24 | Male,0.004
92 Keys | YouTube | Singapore | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Female,0.005
92 Keys | YouTube | Austria | Search,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Female,0.004
92 Keys | YouTube | Austria | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.004
92 Keys | YouTube | Switzerland | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Male,0.012
92 Keys | YouTube | Australia | Search,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Female,0.01
92 Keys | YouTube | United Kingdom | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Female,0.008
92 Keys | YouTube | United Kingdom | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.007
92 Keys | YouTube | Mexico | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Female,0.001
92 Keys | YouTube | Mexico | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Male,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 35-44 | Male,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 45-54 | Male,0.001
92 Keys | YouTube | Mexico | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 65+ | Female,0.001
92 Keys | YouTube | Czechia | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Male,0.004
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 35-44 | Female,0.007
92 Keys | YouTube | Sweden | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Male,0.007
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 45-54 | Male,0.004
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 55-64 | Male,0.004
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Mobile | 65+ | Female,0.004
92 Keys | YouTube | Israel | Videos,Carol of the Bells Audio | Affinity | Classical Fans | Tablet | 45-54 | Male,0.004
92 Keys | YouTube | Israel | Videos,Christmas Bumper | Affinity | Classical Fans | Mobile | 65+ | Female,0.004
